symbol,alert_date,strategy,entry_price,quantity,trade_entry_date,match_type
SOUN,2025-05-12,BreakFutPennies-hold-3MACDV-Hi10Volume-Hi9BodyBO,10.83,50.0,2025-05-12T00:00:00,SAME_DAY_ENTRY
SOUN,2025-05-12,BreakFutPennies-hold-3MACDV-Hi10Volume-Hi9BodyBO,10.83,200.0,2025-05-12T00:00:00,SAME_DAY_ENTRY
MVST,2025-05-12,BreakFutPennies-hold-3MACDVcross-Hi10VolumeBO,3.3,500.0,2025-05-16T00:00:00,TRADE_4D_AFTER_ALERT
MVST,2025-05-12,BreakFutPennies-hold-3MACDVcross-Hi10VolumeBO,3.29,500.0,2025-05-16T00:00:00,TRADE_4D_AFTER_ALERT
MVST,2025-05-12,BreakFutPennies-hold-3MACDVx-lowVolume,3.3,500.0,2025-05-16T00:00:00,TRADE_4D_AFTER_ALERT
MVST,2025-05-12,BreakFutPennies-hold-3MACDVx-lowVolume,3.29,500.0,2025-05-16T00:00:00,TRADE_4D_AFTER_ALERT
MVST,2025-05-12,BreakFutPennies-hold-3MACDVx-Hi10VolumeBOAlt,3.3,500.0,2025-05-16T00:00:00,TRADE_4D_AFTER_ALERT
MVST,2025-05-12,BreakFutPennies-hold-3MACDVx-Hi10VolumeBOAlt,3.29,500.0,2025-05-16T00:00:00,TRADE_4D_AFTER_ALERT
MVST,2025-05-12,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,3.3,500.0,2025-05-16T00:00:00,TRADE_4D_AFTER_ALERT
MVST,2025-05-12,BreakFutPennies-hold-3MACDV-Hi10VolumeBreakout,3.29,500.0,2025-05-16T00:00:00,TRADE_4D_AFTER_ALERT
CRNC,2025-05-12,BreakFutPennies-hold-4barWedgePopSetup,10.09,300.0,2025-05-12T00:00:00,SAME_DAY_ENTRY
CRNC,2025-05-12,BreakFutPennies-hold-4barWedgePopSetup,10.05,200.0,2025-05-12T00:00:00,SAME_DAY_ENTRY
